headline,date,parsed_date,author,summary,url,page
Panathēnea 2026: Πώς ο συνιδρυτής του Google Maps θέλει να μετατρέψει την Αθήνα σε παγκόσμιο hub καινοτομίας,,,Μαρίλια Μαυρικίου,"ΤΟ ΒΗΜΑ μίλησε με τον Lars Rasmussen και την Ελομίδα Βισβίκη, τους ανθρώπους πίσω από το Panathēnea και το φιλόδοξο εγχείρημα που επιχειρεί να τοποθετήσει την Ελλάδα στον παγκόσμιο χάρτη της καινοτομίας.",https://www.tovima.gr/2026/05/25/finance/panathenea-2026-pos-o-synidrytis-tou-google-maps-thelei-na-metatrepsei-tin-athina-se-pagkosmio-hub-kainotomias/,3
Μπλόκο Τραμπ στο διάταγμα για την ΑΙ - Ο ρόλος της Κίνας,,,,Η κυβέρνηση δεν έχει διευκρινίσει ποιες αλλαγές ενδέχεται να γίνουν στο διάταγμα ή πότε θα επαναπρογραμματιστεί η υπογραφή του.,https://www.tovima.gr/2026/05/22/texnologia/mploko-tramp-sto-diatagma-gia-tin-ai-o-rolos-tis-kinas/,3
Το μεγαλύτερο ρίσκο της Google: H αναζήτηση της αλλάζει για πάντα,,,,"Μπροστά στην υπαρξιακή απειλή των AI chatbots, η Google παίρνει το μεγαλύτερο ρίσκο της ιστορίας της",https://www.tovima.gr/2026/05/20/texnologia/google-i-anazitisi-allazei-gia-panta-irthe-i-stigmi-ton-ai-praktoron/,3
"«Ναι, παρακαλώ»: Το σταθερό τηλέφωνο που υπόσχεται να κρατήσει τα παιδιά μακριά από οθόνες",,,Σίντυ Χατζή,"Γονείς στις Ηνωμένες Πολιτείες περιμένουν μήνες για ένα παιδικό τηλέφωνο που δεν έχει εφαρμογές, μηνύματα ή πρόσβαση στο διαδίκτυο. Το Tin Can επαναφέρει μια βασική μορφή επικοινωνίας σε μια εποχή πλήρους ψηφιακής υπερφόρτωσης.",https://www.tovima.gr/2026/05/20/texnologia/nai-parakalo-to-stathero-tilefono-pou-yposxetai-na-kratisei-ta-paidia-makria-apo-othones/,3
Η Alter Ego Media στηρίζει τα Panathēnea 2026,,,,"Η Alter Ego Media συμμετέχει ως partner στα φετινά Panathēnea, στηρίζοντας μια πρωτοβουλία που φέρνει στο επίκεντρο τη σύγχρονη συζήτηση γύρω από την τεχνολογία, την καινοτομία, τον πολιτισμό και τη νέα δημιουργική σκέψη.",https://www.tovima.gr/2026/05/20/texnologia/i-alter-ego-media-stirizei-ta-panathenea-2026/,3
Μεγάλη ήττα για τον Ίλον Μασκ: Έχασε τη δίκη κόντρα στην OpenAI,,,,"Ομόφωνο δικαστικό «μπλόκο» δέχθηκε ο Ίλον Μασκ στην Καλιφόρνια, καθώς το σώμα των ενόρκων απέρριψε την αγωγή του κατά της OpenAI - Ανοίγει ο δρόμος για την είσοδο της εταιρείας στο χρηματιστήριο",https://www.tovima.gr/2026/05/18/world/ilon-mask-megali-itta-exase-ti-diki-apo-tin-openai/,3
Δημιούργησαν τα smartphones τη Γενιά του Άγχους; - Όσα υποστηρίζει ο Τζόναθαν Χάιντ,,,Κωνσταντίνος Δέδες,Τι πρέπει να προσέχουν οι γονείς και πιο είναι το μεγάλο debate ανάμεσα στους ειδικούς για τα smartphones. Οι «τέσσερις κανόνες» που πρέπει να υιοθετήσουν σύμφωνα τον γνωστό κοινωνικό ψυχολόγο.,https://www.tovima.gr/2026/05/14/texnologia/smartphones-vs-smart-kids-exei-telika-dikio-o-tzonathan-xaint/,3
Από τον Γκράχαμ Μπελ στον Στιβ Τζομπς: Τα 150 χρόνια του τηλεφώνου,,,Ντιάνα Καρτσαγκούλη,"Από την πρώτη φράση του Αλεξάντερ Γκράχαμ Μπελ το 1876 μέχρι την επανάσταση των smartphones, αυτά είναι τα ορόσημα μιας ιστορίας 150 χρόνων που άλλαξε οριστικά την ανθρώπινη επικοινωνία και την κοινωνία.",https://www.tovima.gr/2026/05/13/life/tilefono-ta-orosima-mias-istorias-150-xronon/,3
150 χρόνια τηλέφωνο: Η εφεύρεση που μας έφερε κοντά και η εμπειρία του Freenow by Lyft που μας πάει παντού,,,,"Πώς 15 χρόνια καινοτομίας στην Ελλάδα κατήργησαν την αναμονή στο πεζοδρόμιο, χτίζοντας μια νέα σχέση εμπιστοσύνης μεταξύ επαγγελματία οδηγού και επιβάτη.",https://www.tovima.gr/2026/05/13/texnologia/150-xronia-tilefono-i-efeyresi-pou-mas-efere-konta-kai-i-empeiria-tou-freenow-by-lyft-pou-mas-paei-pantou/,3
150 χρόνια από την πρώτη κλήση της ιστορίας στο Galaxy AI που σε περιμένει στο Πλαίσιο,,,,"Μία σειρά συσκευών που δεν ακολούθησε απλώς την εξέλιξη, αλλά την καθόρισε.",https://www.tovima.gr/2026/05/13/texnologia/150-xronia-apo-tin-proti-klisi-tis-istorias-sto-galaxy-ai-pou-se-perimenei-sto-plaisio/,3
